"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CFH",7.55155522611898,0.0892701711383929,0.640424598514977,0.139392164737884,0.889140263550091,0.932407151896433
"CFHR1",5.85306281794409,-0.102709882054077,0.701734548202173,-0.146365719512054,0.883632687699677,0.928552440356613
"CFHR2",0,NA,NA,NA,NA,NA
"CFHR3",15.8390438541147,1.12753898615871,0.455457655614739,2.47561759531049,0.0133005952378952,0.0358641834286924
"CFHR4",3.00246134103486,-0.385984061447348,1.04088463893746,-0.370823093173287,0.71076929988803,0.80695138404719
"CFHR5",0.358600522206391,-0.0410956784329924,2.87544330946521,-0.0142919452794343,0.988597065712344,NA
"CFI",13.8266148292178,-0.640968945368205,0.469811533448556,-1.3643107921666,0.172469770704625,0.290374163724303
"CFL1",9860.62700459239,-0.447344438947551,0.112318778965385,-3.98281073804601,6.81049906855654e-05,0.000356112363267833
"CFL1P1",27.0384269268008,-0.0285782170233761,0.336122890409888,-0.0850231205275136,0.932243009738274,0.959437346526884
"CFL2",3347.92461141444,-0.0807284000115909,0.0599450651246645,-1.34670635261976,0.178074825501505,0.297066405538358
"CFLAR",785.115163761292,0.14548259527501,0.0755557994800174,1.9254987211602,0.0541669957972819,0.115345831879625
"CFLAR-AS1",0.538655431528343,0.920682919194761,2.54234355551919,0.362139458766713,0.717247818118637,NA
"CFP",14.7562886594872,-0.565494017832664,0.481708843513615,-1.17393322843715,0.240421771684715,0.371832005346509
"CFTR",2.07771901134759,-1.32118205956341,1.34381567345126,-0.983157203525001,0.325530074143708,NA
"CG030",42.9584580373899,0.781170356081841,0.268110686178646,2.91361141629892,0.00357274320163817,0.0116621187272139
"CGA",105.543800909152,-0.390457580220383,0.19484755941202,-2.00391311750911,0.0450793681426869,0.0992280661111429
"CGB",0,NA,NA,NA,NA,NA
"CGB1",1.32762549817443,-0.238871128751169,1.46282113872994,-0.163294829714154,0.87028630455622,NA
"CGB2",0,NA,NA,NA,NA,NA
"CGB5",0.98431669884494,0.813311634548814,1.84677900705948,0.440394671717545,0.659651283354736,NA
"CGB7",3.46183236699357,0.309659212552464,0.969152217990217,0.31951555886094,0.749335594964794,0.836863746241121
"CGB8",0.241229889535505,-1.77963736479681,3.4510722341609,-0.515676648892141,0.606080266389271,NA
"CGGBP1",6774.74667929766,0.123232742509806,0.0568271605055472,2.16855358271467,0.0301165924311122,0.0711019710019105
"CGN",757.904573909987,0.216275855770287,0.0795431340644935,2.71897578985172,0.00654844009153508,0.0196887113740522
"CGNL1",382.453278032385,0.345602111888345,0.0985713279701677,3.50611195978754,0.000454703911013136,0.00192424569595844
"CGREF1",6.94423094199978,0.139802912067776,0.715360088485473,0.195430125775902,0.845056234314192,0.900691216724672
"CGRRF1",420.225868465594,0.128956244929967,0.0947648687207254,1.36080223262911,0.173576196180507,0.291309157231448
"CH25H",1.0900160986368,-0.944182490379547,1.75700254074167,-0.537382541280213,0.591003400423299,NA
"CHAC1",324.320450196612,0.946165786216152,0.116461736545548,8.1242630779948,4.50088574103639e-16,2.11878871987981e-14
"CHAC2",536.697706032206,0.400618833308328,0.0910200427858145,4.40143534376326,1.07537114252276e-05,6.91038065031839e-05
"CHAD",0.104027249105564,0.92067477324108,4.08045587191822,0.225630371247777,0.821488917068378,NA
"CHADL",1.52082840522872,-0.903012461971404,1.4949990978208,-0.604022078199037,0.545828963659903,NA
"CHAF1A",3400.73229749071,-0.23842164590271,0.0537066951061441,-4.43932819607502,9.0240117445625e-06,5.90573845542582e-05
"CHAF1B",1315.40906324886,-0.474084770210786,0.0625606310565332,-7.57800492425304,3.50909084430715e-14,1.20422266684364e-12
"CHAMP1",1436.41766536419,-0.483128236671474,0.0618598423415828,-7.81004636260947,5.71669531463786e-15,2.22338614201451e-13
"CHAT",0.13366468171471,-0.0411202350693873,4.0804558719083,-0.010077363010461,0.99195956372931,NA
"CHCHD1",897.811860993324,-0.0367506414771432,0.0697990540552378,-0.526520623733086,0.598526526461134,0.721384992971491
"CHCHD10",1245.79298550799,0.0693169112817329,0.0709928527580906,0.976392814047515,0.328869841154851,0.470319544411186
"CHCHD2",3594.45925863792,-0.03490874309928,0.0659047256031088,-0.529684977515988,0.596330365274157,0.719693868988057
"CHCHD3",1452.22410447394,-0.0833314143966693,0.0597196906745566,-1.39537585435238,0.162902528627058,0.277504434572329
"CHCHD4",841.4121152423,-0.118425449720631,0.0746653573837647,-1.58608294221306,0.112720495789551,0.20758616671052
"CHCHD5",272.002816655835,-0.15039133819449,0.118417793013707,-1.27000625807206,0.204082400985177,0.32944816880056
"CHCHD6",428.093252451884,-0.0026000746327986,0.0996474261447196,-0.0260927425162239,0.979183365726489,0.987374847172139
"CHCHD7",652.41427288167,0.0643028448301621,0.0826731957724184,0.777795562750156,0.436689544246543,0.580275254638191
"CHCHD8",1297.3946603746,-0.222696229706594,0.0684747073687647,-3.25224069242505,0.00114499017545459,0.00432548901851312
"CHD1",4895.56932271914,0.108038473608544,0.0658894923893186,1.63969200081527,0.101069222988994,0.190725729615349
"CHD1L",2701.56098725855,-0.0271360644644391,0.0521647333313266,-0.520199428454531,0.602924583655408,0.724698128947215
"CHD2",5951.39120877091,0.158602733439988,0.0593453448953286,2.67253874284034,0.00752796811301224,0.0221263784200675
"CHD3",4295.71465116858,-0.0678791241451429,0.0485276165510762,-1.39877308982812,0.161881038397639,0.276186610249738
"CHD4",10579.4985739481,-0.269601015763251,0.0471334395682548,-5.71995208142697,1.06554099639287e-08,1.29602473388515e-07
"CHD5",87.3565039696439,-0.0162948787939873,0.202407569537047,-0.0805052836277689,0.935835394149573,0.961740872188316
"CHD6",2262.1535818415,0.30614415883441,0.0618835374835918,4.9471017864094,7.53265927125024e-07,6.23017666814545e-06
"CHD7",1913.02033315393,0.183281305122327,0.0641582864675924,2.85670511501123,0.00428063324642752,0.0136467033669239
"CHD8",4847.41168438891,-0.0554009233384794,0.0507863453814243,-1.09086257186647,0.275333358447187,0.411849565184712
"CHD9",1611.1655438553,0.409391438342293,0.0751872220359855,5.44496029054449,5.18169439336455e-08,5.4891684770175e-07
"CHDH",396.392620836132,-0.0106903675932138,0.102292896291402,-0.104507428969067,0.916766673099367,0.950033851746378
"CHEK1",2441.13603976776,0.0931487030066917,0.0561311774454898,1.65948243464429,0.0970186173085248,0.184643960588926
"CHEK2",949.251110009422,-0.115533581328209,0.0687725914696249,-1.67993642320775,0.0929696861773121,0.178267381583096
"CHEK2P2",0.241229889535505,-1.77963736479681,3.4510722341609,-0.515676648892141,0.606080266389271,NA
"CHERP",3133.26720041901,-0.333794544841591,0.0641472570878434,-5.20356691767026,1.95499309843132e-07,1.83744604504463e-06
"CHFR",652.987109589582,0.301138526303968,0.078792026588701,3.82194162711321,0.000132405035744411,0.000642363011251841
"CHGA",20.133720016031,0.933384441483673,0.433000977017325,2.15561740279012,0.0311135525219898,0.0731302393411793
"CHGB",84.8969118102738,0.901452761663647,0.205101175320216,4.39516136490319,1.1069049660814e-05,7.09070298860376e-05
"CHI3L1",0.104027249105564,0.92067477324108,4.08045587191822,0.225630371247777,0.821488917068378,NA
"CHI3L2",1.18477518681238,-0.454633396293916,1.58677685680441,-0.286513755443532,0.774484659552383,NA
"CHIA",0,NA,NA,NA,NA,NA
"CHIC1",593.204488885599,0.18331935573362,0.0874454949100897,2.09638422107515,0.0360481209836484,0.0826566614637698
"CHIC2",351.36477156529,0.273684489631817,0.10526214300921,2.60002771944202,0.00932162304991613,0.0265415221405578
"CHID1",1129.22473738999,-0.0831772327246218,0.0714408214268367,-1.16428158388135,0.244309917262126,0.37663292737607
"CHIT1",0,NA,NA,NA,NA,NA
"CHKA",680.138054015542,-0.104147754395979,0.0802492413231635,-1.29780360136461,0.194354831795642,0.317701008444093
"CHKB",39.855663986605,-0.452032637033799,0.279736569883735,-1.61592257037281,0.106111055064344,0.198094181082978
"CHKB-CPT1B",0.727757880319538,-0.784873718162145,2.39462664662461,-0.32776454704055,0.743089695173448,NA
"CHL1",0.374894571250215,-1.79115654633101,2.80451229049472,-0.638669529957754,0.523037938705226,NA
"CHM",1328.97348002325,-0.427979556870166,0.0629448936533768,-6.79927365080561,1.05147924807166e-11,2.28707237247011e-10
"CHML",4664.94794260066,-0.0836294696283645,0.0682303604528599,-1.22569291842073,0.22031425611652,0.348319141856693
"CHMP1A",1255.65069895792,-0.491491240223534,0.0719264119617982,-6.83325119129501,8.3011412981412e-12,1.83242085277211e-10
"CHMP1B",1511.82395217968,0.179001324436752,0.0606790205319682,2.94997056424875,0.00317804206287293,0.0105386352206718
"CHMP2A",1501.75571903899,0.0327242630515093,0.0635832540521195,0.514667950537496,0.606785072953308,0.727569553933603
"CHMP2B",2991.16927062882,-0.0563964401786324,0.0645095528430447,-0.874233934249211,0.381990869428772,0.525945789962829
"CHMP3",62.0296112739172,-0.296270142566829,0.238387983866209,-1.2428065280887,0.213939136346936,0.341178931194689
"CHMP4A",610.506836216334,-0.319282091127912,0.0843308095824879,-3.78606695119661,0.000153050454582279,0.000731231113074445
"CHMP4B",1853.92776324115,-0.334760866928927,0.0573948290511038,-5.8325962889594,5.45714935327437e-09,7.13140277485895e-08
"CHMP4C",131.469255657206,0.273125271527851,0.156124155762294,1.74941071863149,0.0802200494028208,0.158701042387681
"CHMP5",896.150408054365,0.0587122872114643,0.0916806699111729,0.640399849481348,0.521912680695741,0.656005204614107
"CHMP6",614.455971981683,-0.538223840101676,0.0832644722250043,-6.46402752241367,1.01952316747129e-10,1.85249287437636e-09
"CHMP7",1165.86574934051,-0.153603389100146,0.0660847281962727,-2.32434018104669,0.0201072688759762,0.0506870736248568
"CHN1",1205.37079363507,-0.212698478103891,0.0626020171558014,-3.39762978522777,0.000679723373876727,0.00275106078103973
"CHN2",269.820591611137,-0.011084152076036,0.119677908676811,-0.0926165254605902,0.926208214759506,0.955804987084383
"CHODL",57.4706820222643,0.145796781490924,0.233839780487052,0.623490071651847,0.532962524571556,0.666152387678549
"CHODL-AS1",0,NA,NA,NA,NA,NA
"CHORDC1",1558.95059016357,-0.0302923218889957,0.137950231830276,-0.219588771161074,0.8261914372936,0.888176184810198
"CHP",1592.00048998804,-0.473146118168228,0.0615700580156916,-7.68467877759093,1.53381350197929e-14,5.53087054190544e-13
"CHP2",18.8175746441936,0.965531570777888,0.402067033060379,2.40141939374794,0.0163316067177302,0.0425481332909287
"CHPF",819.466620986008,0.150675482597298,0.0806547935235264,1.86815285260568,0.0617407683532394,0.128345056127534
"CHPF2",1525.99124609737,-0.362417973315564,0.0628111275504959,-5.76996445453402,7.92882552717467e-09,9.96287422972294e-08
"CHPT1",1612.61530795127,-0.108571179520133,0.0628061085933301,-1.72867228923753,0.0838677635725237,0.164246483390142
"CHRAC1",1460.16522836822,-0.257912764560357,0.062460372399891,-4.12922233170686,3.63992294829131e-05,0.000203414783990211
"CHRD",119.126049796667,0.884496489339481,0.167476564564361,5.28131498063761,1.28259965494286e-07,1.24933007534237e-06
"CHRDL1",148.812804188973,0.201902782031011,0.15419627429636,1.3093881998923,0.190402886550892,0.312523226668893
"CHRDL2",1.40588814055089,0.748071021597756,1.57968626472502,0.473556704456106,0.635816055828586,NA
"CHRFAM7A",65.1353225485149,0.301858519631537,0.223362258794978,1.35143027859783,0.176557639994122,0.295226640321832
"CHRM1",0.241229889535505,-1.77963736479681,3.4510722341609,-0.515676648892141,0.606080266389271,NA
"CHRM2",0,NA,NA,NA,NA,NA
"CHRM3",53.0751441919301,0.0322626551043217,0.244138228718969,0.132149132373119,0.894866334634225,0.936024321127084
"CHRM4",10.7324321775674,1.28708007133459,0.538618387101939,2.38959549498446,0.0168669383202019,0.0437822083998883
"CHRM5",1.82197419985165,1.0607825816047,1.3597871421389,0.78010928970554,0.435326548893322,NA
"CHRNA1",0.416108996422256,2.5407005449522,3.01918557851449,0.841518508511918,0.400057520697057,NA
"CHRNA10",28.3544005675835,-1.66693010484313,0.381658133644079,-4.36760010569473,1.25619224873484e-05,7.94113791914997e-05
"CHRNA2",0.13366468171471,-0.0411202350693873,4.0804558719083,-0.010077363010461,0.99195956372931,NA
"CHRNA3",93.8016411392434,0.360295611824454,0.187767528795472,1.91883875841445,0.0550047430650593,0.116840374248081
"CHRNA4",23.8576808344144,0.914079447725899,0.409177992114676,2.23394088964032,0.0254869626475414,0.061907737523805
"CHRNA5",993.085181322571,0.125303818744047,0.0741967342941887,1.68880503887435,0.0912567978892015,0.17555998039337
"CHRNA6",2.38445956173789,-0.217991771784213,1.07267605993535,-0.203222370598399,0.838961228438951,NA
"CHRNA7",45.9072027687973,-0.168533861815542,0.276241304250896,-0.610096532350829,0.541797863585376,0.673690195757563
"CHRNA9",13.5782988595334,1.28837283922451,0.474130494225588,2.71733806392025,0.00658093504349991,0.0197645842867386
"CHRNB1",357.580207831905,0.024661805897756,0.102352989164104,0.240948565343953,0.809594981036989,0.877320818312274
"CHRNB2",8.932556932297,-0.673282152778084,0.598687897542278,-1.12459623042662,0.260760171820599,0.395346490286619
"CHRNB3",0.0798889051399545,-0.0411170989031031,4.08045587191358,-0.0100765944281173,0.991960176938161,NA
"CHRNB4",15.1910268142462,0.473220030007567,0.48297321201873,0.979805956586295,0.327181911274748,0.468670465699866
"CHRND",0.603453532171931,-2.44209817137751,2.26689905499495,-1.07728580414577,0.281352602306481,NA
"CHRNE",6.90928441138497,0.610261684761777,0.650470578581608,0.938184915438437,0.348149389046979,0.491149518100216
"CHRNG",0.191437162958968,0.920669066324202,3.80981486104154,0.241657167055227,0.809045821662789,NA
"CHST1",30.7941928522763,0.995282941244362,0.346914680792031,2.8689559605032,0.00411829135786101,0.0132054737092623
"CHST10",902.368170616411,-0.312371150836631,0.0721111204475396,-4.33180276354017,1.4789340014673e-05,9.14074243116155e-05
"CHST11",576.98526116927,0.517940650624054,0.085561317265988,6.05344409336184,1.41781293027744e-09,2.07244788797516e-08
"CHST12",404.806087166253,-0.0973790683068018,0.0975083833561736,-0.998673805831655,0.31795273376625,0.458124539655261
"CHST13",19.9726571793292,0.652093789339809,0.410664007297347,1.58790100362424,0.112308726527405,0.206991204764206
"CHST14",500.898674504842,-0.123843064853591,0.0927674034178608,-1.33498470681295,0.181881351832812,0.301872778113085
"CHST15",721.884811984532,0.0958595236393031,0.0752833957908054,1.27331561803713,0.202906066817923,0.328067960157456
"CHST2",206.083901347674,-0.0275535094839944,0.127064215526277,-0.216847122298539,0.828327487289177,0.889360424928927
"CHST3",610.071102934395,0.18259559206241,0.0853326775117227,2.13980853978625,0.0323702427923043,0.0755490664398188
"CHST4",22.2574353373895,0.794007603667076,0.401673771756363,1.97674744904351,0.0480701844752046,0.104780686336064
"CHST5",7.1350897181053,-0.0442462067617842,0.645116413015492,-0.0685863913382121,0.945318851495744,0.967119777127442
"CHST6",209.787601546794,0.650223996426009,0.126351989214597,5.14613185330753,2.65912551305199e-07,2.42935208365237e-06
"CHST7",83.6659434755466,0.737608601889364,0.202834997579064,3.63649572654171,0.0002763722260908,0.00124067920457283
"CHST8",118.361100684714,-0.0454935120495482,0.166027383334914,-0.274012100508611,0.784075322568292,0.860822985593962
"CHST9",83.7123775633176,0.486620006345576,0.192278772648404,2.53080462103529,0.0113801219292864,0.0314808284021836
"CHST9-AS1",0,NA,NA,NA,NA,NA
"CHSY1",1966.24854839094,-0.0794760482694939,0.0573950892030041,-1.38471861222117,0.166138525642709,0.282107361369403
"CHSY3",149.758459994521,0.561478047348139,0.147048636522437,3.81831522295324,0.000134366168711604,0.00065052500471371
"CHTF18",661.625125627687,0.1303537676777,0.0926242394870634,1.40733968127108,0.159326688059094,0.272552251486575
"CHTF8",2273.91049690675,-0.173037292570924,0.058664393536302,-2.94961359250815,0.00318171587061497,0.0105486764251057
"CHTOP",4273.46519992392,-0.135883072172722,0.0528841269691024,-2.56944909485055,0.010186035597438,0.0285989844421022
"CHUK",1853.39717585702,0.355778986881163,0.0575334564148905,6.18386255669287,6.2551834497263e-10,9.7778393924669e-09
"CHURC1",649.490639868971,-0.211689874495998,0.0794820438030944,-2.66336727601558,0.00773629240691754,0.0226632392605972
"CHURC1-FNTB",3.61084153478236,1.60480789357676,1.05297316075011,1.52407293309692,0.127490493237364,0.228701648037815
"CIAO1",4640.92187156022,-0.198346302794208,0.0451674062853423,-4.39135914825766,1.12644297061937e-05,7.1961071275195e-05
"CIAPIN1",758.718239862244,-0.175149232583356,0.0755748630750083,-2.31755937697855,0.0204732801298653,0.0514746853811527
"CIB1",784.738676324488,0.0891193419250942,0.0864359119324622,1.03104531360447,0.302519570751256,0.441890117877293
"CIB2",611.043929252855,-0.209489286731312,0.0846863079801175,-2.47370905318596,0.0133718545199304,0.0360206536251754
"CIB3",1.21149508086727,3.43646845625604,1.82403738085754,1.88399014862319,0.059566308028191,NA
"CIB4",0,NA,NA,NA,NA,NA
"CIC",2288.82823760086,-0.388035150539012,0.0585041027377235,-6.63261433610206,3.2979269497659e-11,6.47495633707042e-10
"CIDEA",0.191278119184428,0.92067477324108,4.08045587191822,0.225630371247777,0.821488917068378,NA
"CIDEB",0.878721993592424,-0.307638824755431,1.95095367751528,-0.15768638092281,0.874703932672687,NA
"CIDEC",1.17387098112693,-0.612022334043561,1.5818824987055,-0.386894939759684,0.698833987489806,NA
"CIDECP",314.945620329656,0.215201341248793,0.118310249144684,1.81895772179145,0.0689178804543971,0.140318282091808
"CIITA",0.111368293034921,-1.00287057155282,4.08045587191822,-0.245774149514665,0.80585706906775,NA
"CILP",6.86933781034348,0.566703123746459,0.737728156929206,0.768173369043363,0.442384192763073,0.58563429392197
"CILP2",130.905785283198,0.422692358123921,0.156679933591022,2.6978078713466,0.00697977110412093,0.0207714631054501
"CINP",584.698467109312,-0.144873989093776,0.086677611062298,-1.67141188270234,0.0946403504407785,0.180905228775505
"CIR1",744.011643967763,0.342179555935324,0.0783533442727937,4.36713402741301,1.25887484493352e-05,7.94886764282529e-05
"CIRBP",4779.43739886346,0.139363959375893,0.0476329428120324,2.92578940431722,0.00343583437011166,0.0112699506899145
"CIRBP-AS1",41.2605895253304,-0.0990372247290998,0.280135730020918,-0.353532998884878,0.723688894352796,0.816850337842242
"CIRH1A",1411.2126890747,0.14179733314127,0.0705203975961871,2.01072793084956,0.0443542021238394,0.0979618566377658
"CISD1",847.437365511228,-0.147696348275012,0.0710280219660637,-2.07940956522174,0.0375797220837195,0.0854369882028614
"CISD2",1273.67291493135,-0.0763253563769862,0.0642419259619621,-1.18809259271241,0.234796932326188,0.365242156894418
"CISD3",481.043586952639,-0.484790870805399,0.0923542539839911,-5.2492532817106,1.52716981355053e-07,1.46656783682233e-06
"CISH",92.2973673730439,0.216954977468291,0.192260491328991,1.12844285359202,0.25913293831429,0.393395589903711
"CIT",2058.30507456903,0.0194694756351427,0.0568427598566225,0.342514608443565,0.731963652158642,0.823629280017319
"CITED1",105.267917651587,0.425396875961945,0.191086149045009,2.22620466259826,0.0260004758026077,0.0630157581561673
"CITED2",2143.51123623317,0.194293021326783,0.0620439893391838,3.13153656617109,0.00173894129706958,0.00626640328427787
"CITED4",106.328801609975,-0.0158885674864945,0.181730610285079,-0.0874292308905485,0.930330335442407,0.958421295097566
"CIZ1",3036.27361542595,-0.747364164127769,0.0646632072986199,-11.5577960845088,6.74168810032308e-31,1.80533565768488e-28
"CKAP2",4657.95203967791,0.02060456813365,0.0577537085323294,0.356766148136027,0.721266880609329,0.815080477158001
"CKAP2L",2054.06764832526,-0.156396748913607,0.058610767257442,-2.66839620485856,0.00762143233262112,0.0223672470631272
"CKAP4",2409.83123917029,0.336725109557457,0.0562846474446733,5.98253919753965,2.19685620091248e-09,3.0962593651342e-08
"CKAP5",10797.0985633596,-0.0284988688029072,0.0405607014841091,-0.702622680578454,0.482290924225323,0.621703144509205
"CKB",13239.3290250755,0.275503206423883,0.0697144330083713,3.9518819064454,7.75390051599697e-05,0.000398677887720524
